auv_id,auv_pos_x,auv_pos_y,auv_pos_z,auv_speed,nodes_in_range,is_lc,is_oc,timestamp
8,389.2572234,240.4208131,354.3757599,4.732092886,0,0,0,3
9,120.9206317,114.752614,465.1108621,2.815587528,0,0,0,3
0,347.6818389,222.4671894,390.1360126,1.609248411,3,1,1,3.1
2,78.05309499,55.24508258,372.5895082,2.319444849,2,1,0,3.1
1,447.9821615,225.0245949,396.558848,1.385563849,1,1,0,3.1
5,442.8802167,257.0216901,451.9217655,4.563169964,1,0,0,3.1
3,129.4009332,174.0248508,416.9108523,2.893957604,0,0,0,3.1
4,24.57998999,275.6148821,474.4986551,1.920855964,0,0,0,3.1
6,154.208758,384.3302378,421.5573596,1.785738663,0,0,0,3.1
7,65.58330907,461.0921348,396.822023,1.524231006,0,0,0,3.1
8,388.8403449,240.6379102,354.4306065,4.732092886,0,0,0,3.1
9,120.8238849,114.6371763,464.8729766,2.815587528,0,0,0,3.1
0,347.6668905,222.4480973,389.9769251,1.609248411,3,1,1,3.2
2,78.23406376,55.35582004,372.4957758,2.319444849,2,1,0,3.2
1,447.8784416,224.9351089,396.5796403,1.385563849,1,1,0,3.2
5,442.7601198,256.946456,451.4880124,4.563169964,1,0,0,3.2
3,129.2732176,174.2823618,416.9444189,2.893957604,0,0,0,3.2
4,24.76354349,275.5582773,474.4995986,1.920855964,0,0,0,3.2
6,154.1789743,384.1936071,421.4463028,1.785738663,0,0,0,3.2
7,65.6991343,461.0080992,396.8745142,1.524231006,0,0,0,3.2
8,388.4234664,240.8550074,354.485453,4.732092886,0,0,0,3.2
9,120.7271381,114.5217386,464.635091,2.815587528,0,0,0,3.2
0,347.6519421,222.4290051,389.8178376,1.609248411,3,1,1,3.3
2,78.41503252,55.4665575,372.4020434,2.319444849,2,1,0,3.3
1,447.7747217,224.845623,396.6004327,1.385563849,1,1,0,3.3
5,442.6400228,256.871222,451.0542593,4.563169964,1,0,0,3.3
3,129.145502,174.5398728,416.9779856,2.893957604,0,0,0,3.3
4,24.94709698,275.5016726,474.5005422,1.920855964,0,0,0,3.3
6,154.1491906,384.0569764,421.335246,1.785738663,0,0,0,3.3
7,65.81495952,460.9240635,396.9270054,1.524231006,0,0,0,3.3
8,388.0065878,241.0721046,354.5402995,4.732092886,0,0,0,3.3
9,120.6303914,114.406301,464.3972054,2.815587528,0,0,0,3.3
0,347.6369937,222.409913,389.65875,1.609248411,3,1,1,3.4
2,78.59600129,55.57729496,372.308311,2.319444849,2,1,0,3.4
1,447.6710018,224.7561371,396.621225,1.385563849,1,1,0,3.4
5,442.5199258,256.7959879,450.6205062,4.563169964,1,0,0,3.4
3,129.0177864,174.7973838,417.0115523,2.893957604,0,0,0,3.4
4,25.13065048,275.4450678,474.5014857,1.920855964,0,0,0,3.4
6,154.1194069,383.9203458,421.2241892,1.785738663,0,0,0,3.4
7,65.93078475,460.8400279,396.9794967,1.524231006,0,0,0,3.4
8,387.5897093,241.2892018,354.595146,4.732092886,0,0,0,3.4
9,120.5336446,114.2908633,464.1593199,2.815587528,0,0,0,3.4
0,347.6220453,222.3908208,389.4996625,1.609248411,3,1,1,3.5
2,78.77697006,55.68803242,372.2145786,2.319444849,2,1,0,3.5
1,447.5672819,224.6666511,396.6420173,1.385563849,1,1,0,3.5
5,442.3998289,256.7207538,450.1867531,4.563169964,1,0,0,3.5
3,128.8900709,175.0548948,417.0451189,2.893957604,0,0,0,3.5
4,25.31420398,275.388463,474.5024293,1.920855964,0,0,0,3.5
6,154.0896232,383.7837151,421.1131323,1.785738663,0,0,0,3.5
7,66.04660998,460.7559923,397.0319879,1.524231006,0,0,0,3.5
8,387.1728308,241.5062989,354.6499926,4.732092886,0,0,0,3.5
9,120.4368978,114.1754256,463.9214343,2.815587528,0,0,0,3.5
0,347.6070969,222.3717287,389.340575,1.609248411,3,1,1,3.6
2,78.95793883,55.79876988,372.1208462,2.319444849,2,1,0,3.6
1,447.463562,224.5771652,396.6628096,1.385563849,1,1,0,3.6
5,442.2797319,256.6455198,449.753,4.563169964,1,0,0,3.6
3,128.7623553,175.3124058,417.0786856,2.893957604,0,0,0,3.6
4,25.49775748,275.3318583,474.5033728,1.920855964,0,0,0,3.6
6,154.0598395,383.6470844,421.0020755,1.785738663,0,0,0,3.6
7,66.1624352,460.6719566,397.0844791,1.524231006,0,0,0,3.6
8,386.7559522,241.7233961,354.7048391,4.732092886,0,0,0,3.6
9,120.3401511,114.059988,463.6835488,2.815587528,0,0,0,3.6
0,347.5921485,222.3526366,389.1814875,1.609248411,3,1,1,3.7
2,79.13890759,55.90950735,372.0271138,2.319444849,2,1,0,3.7
1,447.3598421,224.4876792,396.683602,1.385563849,1,1,0,3.7
5,442.1596349,256.5702857,449.3192469,4.563169964,1,0,0,3.7
3,128.6346397,175.5699168,417.1122523,2.893957604,0,0,0,3.7
4,25.68131097,275.2752535,474.5043164,1.920855964,0,0,0,3.7
6,154.0300558,383.5104538,420.8910187,1.785738663,0,0,0,3.7
7,66.27826043,460.587921,397.1369703,1.524231006,0,0,0,3.7
8,386.3390737,241.9404933,354.7596856,4.732092886,0,0,0,3.7
9,120.2434043,113.9445503,463.4456632,2.815587528,0,0,0,3.7
0,347.5772001,222.3335444,389.0223999,1.609248411,3,1,1,3.8
2,79.31987636,56.02024481,371.9333814,2.319444849,2,1,0,3.8
1,447.2561222,224.3981933,396.7043943,1.385563849,1,1,0,3.8
5,442.0395379,256.4950516,448.8854938,4.563169964,1,0,0,3.8
3,128.5069241,175.8274278,417.1458189,2.893957604,0,0,0,3.8
4,25.86486447,275.2186487,474.5052599,1.920855964,0,0,0,3.8
6,154.0002721,383.3738231,420.7799619,1.785738663,0,0,0,3.8
